id,game,code,name,aka,faction,domain,kind,tech,role,description,hp,cost_metal,cost_energy,build_time,speed,weapons,image
sc-uas0201,sc,UAS0201,Exodus Class,Destroyer,aeon,navy,Destroyer,2,t2_destroyer,Destroyer,7200,2250,15000,10000,5,Oblivion Cannon | Harmonic Depth Charge | Chrono Torpedo | Anti Torpedo | Anti Torpedo,img/sc/uas0201.png
sc-uas0202,sc,UAS0202,Infinity Class,Cruiser,aeon,navy,Cruiser,2,t2_cruiser,Cruiser,3250,2000,18000,8000,4.5,Quantum Cannon | Zealot AA Missile | Zealot AA Missile | Will O Wisp Anti Missile,img/sc/uas0202.png
sc-uas0203,sc,UAS0203,Sylph,Attack Submarine,aeon,navy,Attack Submarine,1,t1_sub,Attack Submarine,775,360,2880,1440,6,Chrono Torpedo,img/sc/uas0203.png
sc-uas0302,sc,UAS0302,Omen Class,Battleship,aeon,navy,Battleship,3,t3_battleship,Battleship,48000,9500,58000,30300,3.7,Oblivion Cannon | Oblivion Cannon | Oblivion Cannon | Will O Wisp Anti Missile,img/sc/uas0302.png
sc-uas0303,sc,UAS0303,Keefer Class,Aircraft Carrier,aeon,navy,Aircraft Carrier,3,t3_battleship,Aircraft Carrier,22000,4000,40000,12000,3,Zealot AA Missile | Zealot AA Missile | Will O Wisp Anti Missile,img/sc/uas0303.png
sc-uas0304,sc,UAS0304,Silencer,Strategic Missile Submarine,aeon,navy,Strategic Missile Submarine,3,t1_sub,Strategic Missile Submarine,3750,9500,152000,20000,3.3,Long Range Cruise Missile | Nuclear Warhead,img/sc/uas0304.png
sc-uas0305,sc,UAS0305,Sonar Platform,,aeon,navy,Sonar Platform,3,other,Sonar Platform,1500,1000,12000,1200,4.5,Quasar Anti Torpedo,img/sc/uas0305.png
sc-uas0401,sc,UAS0401,Tempest,Experimental Battleship,aeon,navy,Experimental Battleship,4,experimental,Experimental Battleship,60000,25000,400000,40000,2.5,Oblivion Cannon | Harmonic Depth Charge | Quasar Anti Torpedo | Quasar Anti Torpedo,img/sc/uas0401.png
sc-uea0001,sc,UEA0001,"C-D1 ""Rover""",Engineering Drone,uef,air,Engineering Drone,1,t1_engineer,Engineering Drone,50,60,800,200,4,,img/sc/uea0001.png
sc-uea0003,sc,UEA0003,"C-D3 ""Rover-3""",Engineering Drone,uef,air,Engineering Drone,3,t3_engineer,Engineering Drone,50,160,1600,400,4,,img/sc/uea0003.png
sc-uea0101,sc,UEA0101,Hummingbird,Air Scout,uef,air,Air Scout,1,t1_air_scout,Air Scout,35,40,580,200,19,,img/sc/uea0101.png
sc-uea0102,sc,UEA0102,Cyclone,Interceptor,uef,air,Interceptor,1,t1_interceptor,Interceptor,295,50,2250,500,15,Linked Railgun,img/sc/uea0102.png
sc-uea0103,sc,UEA0103,Scorcher,Attack Bomber,uef,air,Attack Bomber,1,t1_bomber,Attack Bomber,215,90,2050,500,10,Napalm Carpet Bomb,img/sc/uea0103.png
sc-uea0104,sc,UEA0104,C14 Star Lifter,Air Transport,uef,air,Air Transport,2,t1_transport,Air Transport,1675,330,13200,2640,14.5,Hells Fury Riot Gun | Hells Fury Riot Gun | Linked Railgun | Linked Railgun,img/sc/uea0104.png
sc-uea0107,sc,UEA0107,C-6 Courier,Light Air Transport,uef,air,Light Air Transport,1,t1_transport,Light Air Transport,500,120,4800,800,10.75,Weapon Guidance System,img/sc/uea0107.png
sc-uea0203,sc,UEA0203,Stinger,Gunship,uef,air,Gunship,2,t1_transport,Gunship,700,192,3840,1280,13.5,Hells Fury Riot Gun,img/sc/uea0203.png
sc-uea0204,sc,UEA0204,Stork,Torpedo Bomber,uef,air,Torpedo Bomber,2,t2_bomber,Torpedo Bomber,860,270,8000,1600,15,Angler Torpedo,img/sc/uea0204.png
sc-uea0302,sc,UEA0302,SR90 Blackbird,Spy Plane,uef,air,Spy Plane,3,t1_air_scout,Spy Plane,1150,195,7500,900,27,,img/sc/uea0302.png
sc-uea0303,sc,UEA0303,Wasp,Air Superiority Fighter,uef,air,Air Superiority Fighter,3,t3_asf,Air Superiority Fighter,2300,450,51200,3840,22,Ginsu Pulse Beam,img/sc/uea0303.png
sc-uea0304,sc,UEA0304,Ambassador,Strategic Bomber,uef,air,Strategic Bomber,3,t3_strat_bomber,Strategic Bomber,4000,1750,180000,12000,17,Small Yield Nuclear Bomb | Linked Railgun | Linked Railgun,img/sc/uea0304.png
sc-uea0305,sc,UEA0305,Broadsword,Heavy Gunship,uef,air,Heavy Gunship,3,t2_gunship,Heavy Gunship,6000,1500,65000,6300,10,Heavy Plasma Cannon | Linked Railgun,img/sc/uea0305.png
sc-ueb0101,sc,UEB0101,Land Factory,,uef,structure,Land Factory,1,t1_factory_land,Land Factory,4000,240,2100,300,,,img/sc/ueb0101.png
sc-ueb0102,sc,UEB0102,Air Factory,,uef,structure,Air Factory,1,t1_factory_air,Air Factory,4000,210,2400,300,,,img/sc/ueb0102.png
sc-ueb0103,sc,UEB0103,Naval Factory,,uef,structure,Naval Factory,1,t1_factory_naval,Naval Factory,4500,300,1500,300,,,img/sc/ueb0103.png
sc-ueb0201,sc,UEB0201,Land Factory HQ,,uef,structure,Land Factory HQ,2,t2_factory_land,Land Factory HQ,8000,1410,11200,2300,,,img/sc/ueb0201.png
sc-ueb0202,sc,UEB0202,Air Factory HQ,,uef,structure,Air Factory HQ,2,t2_factory_air,Air Factory HQ,8000,920,18000,2300,,,img/sc/ueb0202.png
sc-ueb0203,sc,UEB0203,Naval Factory HQ,,uef,structure,Naval Factory HQ,2,t2_factory_naval,Naval Factory HQ,16000,2000,10000,3200,,,img/sc/ueb0203.png
sc-ueb0301,sc,UEB0301,Land Factory HQ,,uef,structure,Land Factory HQ,3,t2_factory_land,Land Factory HQ,16000,5220,47400,12000,,,img/sc/ueb0301.png
sc-ueb0302,sc,UEB0302,Air Factory HQ,,uef,structure,Air Factory HQ,3,t2_factory_air,Air Factory HQ,16000,4090,99400,12000,,,img/sc/ueb0302.png
sc-ueb0303,sc,UEB0303,Naval Factory HQ,,uef,structure,Naval Factory HQ,3,t2_factory_naval,Naval Factory HQ,26000,9500,45000,21600,,,img/sc/ueb0303.png
sc-ueb0304,sc,UEB0304,QGW R-32,Quantum Gateway,uef,structure,Quantum Gateway,3,other,Quantum Gateway,10000,3000,30000,4097,,,img/sc/ueb0304.png
sc-ueb1101,sc,UEB1101,Power Generator,,uef,structure,Power Generator,1,t1_energy,Power Generator,600,75,750,125,,,img/sc/ueb1101.png
sc-ueb1102,sc,UEB1102,HCPP - X1000,Hydrocarbon Power Plant,uef,structure,Hydrocarbon Power Plant,1,t1_energy,Hydrocarbon Power Plant,1800,160,800,400,,,img/sc/ueb1102.png
sc-ueb1103,sc,UEB1103,Mass Pump 1,Mass Extractor,uef,structure,Mass Extractor,1,t1_mex,Mass Extractor,400,36,360,60,,,img/sc/ueb1103.png
sc-ueb1104,sc,UEB1104,Mass Fabricator,,uef,structure,Mass Fabricator,2,t1_fab,Mass Fabricator,360,200,4000,500,,,img/sc/ueb1104.png
sc-ueb1105,sc,UEB1105,Energy Storage,,uef,structure,Energy Storage,1,other,Energy Storage,500,250,1200,200,,,img/sc/ueb1105.png
sc-ueb1106,sc,UEB1106,Mass Storage,,uef,structure,Mass Storage,1,other,Mass Storage,800,200,1500,250,,,img/sc/ueb1106.png
sc-ueb1201,sc,UEB1201,EG - 200 Fusion Reactor,Power Generator,uef,structure,Power Generator,2,t2_energy,Power Generator,2500,1200,12000,2198,,,img/sc/ueb1201.png
sc-ueb1202,sc,UEB1202,Mass Pump 2,Mass Extractor,uef,structure,Mass Extractor,2,t2_mex,Mass Extractor,2000,900,5400,900,,,img/sc/ueb1202.png
sc-ueb1301,sc,UEB1301,EG 900 Fusion Reactor,Power Generator,uef,structure,Power Generator,3,t3_energy,Power Generator,9000,3240,57600,6824,,,img/sc/ueb1301.png
sc-ueb1302,sc,UEB1302,Mass Pump 3,Mass Extractor,uef,structure,Mass Extractor,3,t2_mex,Mass Extractor,7000,4600,31625,2875,,,img/sc/ueb1302.png
sc-ueb1303,sc,UEB1303,Mass Fabricator,,uef,structure,Mass Fabricator,3,t1_fab,Mass Fabricator,6000,4000,120000,5000,,,img/sc/ueb1303.png
sc-ueb2101,sc,UEB2101,DM1 Plasma Cannon,Point Defense,uef,structure,Point Defense,1,t1_pd,Point Defense,1300,250,2000,250,,Light Plasma Cannon,img/sc/ueb2101.png
sc-ueb2104,sc,UEB2104,DA1 Railgun,Anti-Air Turret,uef,structure,Anti-Air Turret,1,t1_aa_turret,Anti-Air Turret,800,150,1500,188,,Linked Railgun,img/sc/ueb2104.png
sc-ueb2108,sc,UEB2108,Aloha,Tactical Missile Launcher,uef,structure,Tactical Missile Launcher,2,tml,Tactical Missile Launcher,900,800,4000,800,,Long Range Cruise Missile,img/sc/ueb2108.png
sc-ueb2109,sc,UEB2109,DN1,Torpedo Launcher,uef,structure,Torpedo Launcher,1,other,Torpedo Launcher,1700,450,3600,450,,Angler Torpedo,img/sc/ueb2109.png
sc-ueb2204,sc,UEB2204,Air Cleaner,Anti-Air Flak Artillery,uef,structure,Anti-Air Flak Artillery,2,t2_flak,Anti-Air Flak Artillery,2590,400,4000,540,,Fragmentation Flak,img/sc/ueb2204.png
sc-ueb2205,sc,UEB2205,Tsunami,Torpedo Launcher,uef,structure,Torpedo Launcher,2,other,Torpedo Launcher,6400,1080,9000,1446,,Angler Torpedo,img/sc/ueb2205.png
sc-ueb2301,sc,UEB2301,Triad,Point Defense,uef,structure,Point Defense,2,t2_pd,Point Defense,2250,540,3780,675,,Gauss Cannon,img/sc/ueb2301.png
sc-ueb2302,sc,UEB2302,Duke,Heavy Artillery Installation,uef,structure,Heavy Artillery Installation,3,t3_arty_static,Heavy Artillery Installation,15000,76000,1424000,121400,,Anti Matter Artillery,img/sc/ueb2302.png
sc-ueb2303,sc,UEB2303,Klink Hammer,Artillery Installation,uef,structure,Artillery Installation,2,t2_arty,Artillery Installation,3600,1900,13585,1600,,APDS Artillery,img/sc/ueb2303.png
sc-ueb2304,sc,UEB2304,Flayer,Anti-Air SAM Launcher,uef,structure,Anti-Air SAM Launcher,3,t2_flak,Anti-Air SAM Launcher,5000,800,8000,1400,,Flayer SAM Launcher,img/sc/ueb2304.png
sc-ueb2305,sc,UEB2305,Stonager,Strategic Missile Launcher,uef,structure,Strategic Missile Launcher,3,nuke,Strategic Missile Launcher,4000,16500,412500,25000,,Nuclear Warhead,img/sc/ueb2305.png
sc-ueb2401,sc,UEB2401,Mavor,Experimental Artillery,uef,structure,Experimental Artillery,4,experimental,Experimental Artillery,8000,224775,5994000,300000,,Anti Matter Artillery,img/sc/ueb2401.png
sc-ueb3101,sc,UEB3101,SA1 - 1000,Radar System,uef,structure,Radar System,1,t1_radar,Radar System,10,80,720,80,,,img/sc/ueb3101.png
sc-ueb3102,sc,UEB3102,SP1 - 1000,Sonar System,uef,structure,Sonar System,1,t1_radar,Sonar System,400,150,1250,125,,,img/sc/ueb3102.png
sc-ueb3104,sc,UEB3104,SA3 - Omni,Omni Sensor Array,uef,structure,Omni Sensor Array,3,t1_radar,Omni Sensor Array,100,2400,30000,2400,,,img/sc/ueb3104.png
sc-ueb3201,sc,UEB3201,SA2 - 2000,Radar System,uef,structure,Radar System,2,t1_radar,Radar System,50,180,3600,780,,,img/sc/ueb3201.png
sc-ueb3202,sc,UEB3202,SP2 - 2000,Sonar System,uef,structure,Sonar System,2,t1_radar,Sonar System,800,300,7200,780,,,img/sc/ueb3202.png
sc-ueb4201,sc,UEB4201,Buzzkill,Tactical Missile Defense,uef,structure,Tactical Missile Defense,2,tml,Tactical Missile Defense,1000,280,3200,400,,Phalanx Anti Missile,img/sc/ueb4201.png
sc-ueb4202,sc,UEB4202,SD - Pulse,Shield Generator,uef,structure,Shield Generator,2,shield,Shield Generator,250,600,6000,1150,,,img/sc/ueb4202.png
sc-ueb4203,sc,UEB4203,Scattershield,Stealth Field Generator,uef,structure,Stealth Field Generator,2,t1_radar,Stealth Field Generator,225,360,5400,664,,,img/sc/ueb4203.png
sc-ueb4301,sc,UEB4301,HSD Pulse,Heavy Shield Generator,uef,structure,Heavy Shield Generator,3,shield,Heavy Shield Generator,500,3300,55000,5000,,,img/sc/ueb4301.png
sc-ueb4302,sc,UEB4302,Nuke Eliminator,Strategic Missile Defense,uef,structure,Strategic Missile Defense,3,antinuke,Strategic Missile Defense,3800,7500,105000,5841,,AntiNuke,img/sc/ueb4302.png
sc-ueb5101,sc,UEB5101,Calcicrete,Wall Section,uef,structure,Wall Section,1,wall,Wall Section,500,3,20,15,,,img/sc/ueb5101.png
sc-ueb5202,sc,UEB5202,Refuel & Repair,Air Staging Facility,uef,structure,Air Staging Facility,1,other,Air Staging Facility,500,175,2100,350,,,img/sc/ueb5202.png
sc-uel0001,sc,UEL0001,Armored Command Unit,,uef,commander,Armored Command Unit,0,commander,Armored Command Unit,12000,2000,5000000,6000000,1.7,Zephyr Anti Matter Cannon | Overcharge Cannon | AutoOvercharge Cannon | Tactical Warhead | Nuclear Warhead,img/sc/uel0001.png
sc-uel0101,sc,UEL0101,Snoop,Land Scout,uef,land,Land Scout,1,t1_land_scout,Land Scout,29,12,80,60,4.5,Tom Cat Machinegun,img/sc/uel0101.png
sc-uel0103,sc,UEL0103,Lobo,Mobile Light Artillery,uef,land,Mobile Light Artillery,1,t1_arty,Mobile Light Artillery,205,36,180,200,2.8,Fragmentation Artillery,img/sc/uel0103.png
sc-uel0104,sc,UEL0104,Archer,Mobile Anti-Air Gun,uef,land,Mobile Anti-Air Gun,1,t1_aa,Mobile Anti-Air Gun,310,55,275,220,3.3,Linked Railgun,img/sc/uel0104.png
sc-uel0105,sc,UEL0105,Engineer,,uef,land,Engineer,1,t1_engineer,Engineer,150,52,260,260,1.9,,img/sc/uel0105.png
sc-uel0106,sc,UEL0106,Mech Marine,Light Assault Bot,uef,land,Light Assault Bot,1,t1_light_bot,Light Assault Bot,60,30,120,120,4.2,Tom Cat Machinegun,img/sc/uel0106.png
sc-uel0111,sc,UEL0111,Flapjack,Mobile Missile Launcher,uef,land,Mobile Missile Launcher,2,t2_mml,Mobile Missile Launcher,825,180,1350,800,2.9,Long Range Cruise Missile,img/sc/uel0111.png
sc-uel0201,sc,UEL0201,MA12 Striker,Medium Tank,uef,land,Medium Tank,1,t1_tank,Medium Tank,300,56,266,300,3.4,Gauss Cannon,img/sc/uel0201.png
sc-uel0202,sc,UEL0202,Pillar,Heavy Tank,uef,land,Heavy Tank,2,t2_tank,Heavy Tank,1500,198,990,880,3.1,Gauss Cannon,img/sc/uel0202.png
sc-uel0203,sc,UEL0203,Riptide,Amphibious Tank,uef,land,Amphibious Tank,2,t2_tank,Amphibious Tank,1800,320,1650,1420,3.7,Hells Fury Riot Gun,img/sc/uel0203.png
sc-uel0205,sc,UEL0205,Sky Boxer,Mobile AA Flak Artillery,uef,land,Mobile AA Flak Artillery,2,t2_flak,Mobile AA Flak Artillery,1000,160,800,800,3.1,Fragmentation Flak,img/sc/uel0205.png
sc-uel0208,sc,UEL0208,Engineer,,uef,land,Engineer,2,t2_engineer,Engineer,400,130,650,650,1.9,,img/sc/uel0208.png
sc-uel0301,sc,UEL0301,Support Armored Command Unit,,uef,land,Support Armored Command Unit,3,t3_engineer,Support Armored Command Unit,16000,2100,25200,14400,2.2,Heavy Plasma Cannon,img/sc/uel0301.png
sc-uel0303,sc,UEL0303,Titan,Heavy Assault Bot,uef,land,Heavy Assault Bot,3,t3_assault,Heavy Assault Bot,2400,480,5250,2400,3.8,Heavy Plasma Cannon,img/sc/uel0303.png
sc-uel0304,sc,UEL0304,Demolisher,Mobile Heavy Artillery,uef,land,Mobile Heavy Artillery,3,t3_arty,Mobile Heavy Artillery,950,800,8000,4300,2.2,Anti Matter Artillery,img/sc/uel0304.png
sc-uel0307,sc,UEL0307,Parashield,Mobile Shield Generator,uef,land,Mobile Shield Generator,2,other,Mobile Shield Generator,150,220,900,660,3.5,,img/sc/uel0307.png
sc-uel0309,sc,UEL0309,Engineer,,uef,land,Engineer,3,t3_engineer,Engineer,800,312,1560,1560,1.9,,img/sc/uel0309.png
sc-uel0401,sc,UEL0401,Fatboy,Experimental Mobile Factory,uef,land,Experimental Mobile Factory,4,experimental,Experimental Mobile Factory,12500,28000,350000,47500,1.75,Gauss Cannon | Gauss Cannon | Gauss Cannon | Gauss Cannon | Hells Fury Riot Gun | Hells Fury Riot Gun | Linked Railgun | Linked Railgun | Angler Torpedo,img/sc/uel0401.png
sc-ues0103,sc,UES0103,Thunderhead Class,Frigate,uef,navy,Frigate,1,t1_frigate,Frigate,2120,280,2800,1400,6,Gauss Cannon | Linked Railgun,img/sc/ues0103.png
sc-ues0201,sc,UES0201,Valiant Class,Destroyer,uef,navy,Destroyer,2,t2_destroyer,Destroyer,7200,2250,15000,10000,5.5,Gauss Cannon | Gauss Cannon | Linked Railgun | Angler Torpedo | Smart Charge AntiTorpedo,img/sc/ues0201.png
sc-ues0202,sc,UES0202,Governor Class,Cruiser,uef,navy,Cruiser,2,t2_cruiser,Cruiser,2500,2000,18000,8000,4.5,Long Range Cruise Missile | Gauss Cannon | Flayer SAM Launcher | Phalanx Anti Missile,img/sc/ues0202.png
sc-ues0203,sc,UES0203,Tigershark,Attack Submarine,uef,navy,Attack Submarine,1,t1_sub,Attack Submarine,800,360,2880,1440,6,Angler Torpedo | Light Plasma Cannon,img/sc/ues0203.png
sc-ues0302,sc,UES0302,Summit Class,Battleship,uef,navy,Battleship,3,t3_battleship,Battleship,51000,10000,62000,31600,2.75,Gauss Cannon | Gauss Cannon | Gauss Cannon | Linked Railgun | Linked Railgun | Linked Railgun | Linked Railgun | Phalanx Anti Missile | Phalanx Anti Missile,img/sc/ues0302.png
sc-ues0304,sc,UES0304,Ace,Strategic Missile Submarine,uef,navy,Strategic Missile Submarine,3,t1_sub,Strategic Missile Submarine,4000,9500,152000,20000,3.3,Long Range Cruise Missile | Nuclear Warhead,img/sc/ues0304.png
sc-ues0305,sc,UES0305,SP3 - 3000,Sonar Platform,uef,navy,Sonar Platform,3,other,Sonar Platform,2000,1000,12000,1200,4.5,Angler Torpedo,img/sc/ues0305.png
sc-ues0401,sc,UES0401,Atlantis,Experimental Aircraft Carrier,uef,navy,Experimental Aircraft Carrier,4,experimental,Experimental Aircraft Carrier,40000,12000,150000,20500,3.3,Angler Torpedo | Flayer SAM Launcher | Flayer SAM Launcher | Flayer SAM Launcher | Flayer SAM Launcher,img/sc/ues0401.png
sc-ura0101,sc,URA0101,Flying Eyes,Air Scout,cybran,air,Air Scout,1,t1_air_scout,Air Scout,26,40,580,200,19,,img/sc/ura0101.png
sc-ura0102,sc,URA0102,Prowler,Interceptor,cybran,air,Interceptor,1,t1_interceptor,Interceptor,280,50,2250,500,15,Electron Autocannon | Electron Autocannon,img/sc/ura0102.png
sc-ura0103,sc,URA0103,Zeus,Attack Bomber,cybran,air,Attack Bomber,1,t1_bomber,Attack Bomber,200,90,2050,500,10,Neutron Cluster Bomb,img/sc/ura0103.png
sc-ura0104,sc,URA0104,Dragon Fly,Air Transport,cybran,air,Air Transport,2,t1_transport,Air Transport,1525,330,13200,2640,14.5,Disintegrator Pulse Laser | Electron Autocannon,img/sc/ura0104.png
sc-ura0107,sc,URA0107,Skyhook,Light Air Transport,cybran,air,Light Air Transport,1,t1_transport,Light Air Transport,500,120,4800,800,10.75,Weapon Guidance System,img/sc/ura0107.png
sc-ura0203,sc,URA0203,Renegade,Gunship,cybran,air,Gunship,2,t2_gunship,Gunship,832,270,5400,1800,12,Iridium Rocket Pack,img/sc/ura0203.png
sc-ura0204,sc,URA0204,Cormorant,Torpedo Bomber,cybran,air,Torpedo Bomber,2,t2_bomber,Torpedo Bomber,800,270,8000,1600,15,Nanite Torpedo,img/sc/ura0204.png
sc-ura0302,sc,URA0302,Spook,Spy Plane,cybran,air,Spy Plane,3,t1_air_scout,Spy Plane,700,195,7500,900,27,,img/sc/ura0302.png
sc-ura0303,sc,URA0303,Gemini,Air Superiority Fighter,cybran,air,Air Superiority Fighter,3,t3_asf,Air Superiority Fighter,2225,450,51200,3840,22,Nanite Missile System,img/sc/ura0303.png
sc-ura0304,sc,URA0304,Revenant,Strategic Bomber,cybran,air,Strategic Bomber,3,t3_strat_bomber,Strategic Bomber,3700,1750,180000,12000,17,Neutron Bomb | Electron Autocannon | Electron Autocannon,img/sc/ura0304.png
sc-ura0401,sc,URA0401,Soul Ripper,Experimental Gunship,cybran,air,Experimental Gunship,4,experimental,Experimental Gunship,75000,29000,812000,48000,9,Iridium Rocket Pack | Iridium Rocket Pack | Nanite Missile System | Nanite Missile System | Heavy Electron Bolter | Heavy Electron Bolter,img/sc/ura0401.png
sc-urb0101,sc,URB0101,Land Factory,,cybran,structure,Land Factory,1,t1_factory_land,Land Factory,2750,240,2100,300,,,img/sc/urb0101.png
sc-urb0102,sc,URB0102,Air Factory,,cybran,structure,Air Factory,1,t1_factory_air,Air Factory,2750,210,2400,300,,,img/sc/urb0102.png
sc-urb0103,sc,URB0103,Naval Factory,,cybran,structure,Naval Factory,1,t1_factory_naval,Naval Factory,3200,300,1500,300,,,img/sc/urb0103.png
sc-urb0201,sc,URB0201,Land Factory HQ,,cybran,structure,Land Factory HQ,2,t2_factory_land,Land Factory HQ,6100,1410,11200,2300,,,img/sc/urb0201.png
sc-urb0202,sc,URB0202,Air Factory HQ,,cybran,structure,Air Factory HQ,2,t2_factory_air,Air Factory HQ,6100,920,18000,2300,,,img/sc/urb0202.png
sc-urb0203,sc,URB0203,Naval Factory HQ,,cybran,structure,Naval Factory HQ,2,t2_factory_naval,Naval Factory HQ,11000,2000,10000,3200,,,img/sc/urb0203.png
sc-urb0301,sc,URB0301,Land Factory HQ,,cybran,structure,Land Factory HQ,3,t2_factory_land,Land Factory HQ,11000,5220,47400,12000,,,img/sc/urb0301.png
sc-urb0302,sc,URB0302,Air Factory HQ,,cybran,structure,Air Factory HQ,3,t2_factory_air,Air Factory HQ,11000,4090,99400,12000,,,img/sc/urb0302.png
sc-urb0303,sc,URB0303,Naval Factory HQ,,cybran,structure,Naval Factory HQ,3,t2_factory_naval,Naval Factory HQ,17000,9500,45000,21600,,,img/sc/urb0303.png
sc-urb0304,sc,URB0304,Summoner,Quantum Gateway,cybran,structure,Quantum Gateway,3,other,Quantum Gateway,10000,3000,30000,4097,,,img/sc/urb0304.png
sc-urb1101,sc,URB1101,Power Generator,,cybran,structure,Power Generator,1,t1_energy,Power Generator,500,75,750,125,,,img/sc/urb1101.png
sc-urb1102,sc,URB1102,Hydrocarbon Power Plant,,cybran,structure,Hydrocarbon Power Plant,1,t1_energy,Hydrocarbon Power Plant,1400,160,800,400,,,img/sc/urb1102.png
sc-urb1103,sc,URB1103,Mass Extractor,,cybran,structure,Mass Extractor,1,t1_mex,Mass Extractor,360,36,360,60,,,img/sc/urb1103.png
sc-urb1104,sc,URB1104,Mass Fabricator,,cybran,structure,Mass Fabricator,2,t1_fab,Mass Fabricator,360,200,4000,500,,,img/sc/urb1104.png
sc-urb1105,sc,URB1105,Energy Storage,,cybran,structure,Energy Storage,1,other,Energy Storage,500,250,1200,200,,,img/sc/urb1105.png
sc-urb1106,sc,URB1106,Mass Storage,,cybran,structure,Mass Storage,1,other,Mass Storage,600,200,1500,250,,,img/sc/urb1106.png
sc-urb1201,sc,URB1201,Power Generator,,cybran,structure,Power Generator,2,t2_energy,Power Generator,2200,1200,12000,2198,,,img/sc/urb1201.png
sc-urb1202,sc,URB1202,Mass Extractor,,cybran,structure,Mass Extractor,2,t2_mex,Mass Extractor,1800,900,5400,900,,,img/sc/urb1202.png
sc-urb1301,sc,URB1301,Ion Reactor,Power Generator,cybran,structure,Power Generator,3,t3_energy,Power Generator,6000,3240,57600,6824,,,img/sc/urb1301.png
sc-urb1302,sc,URB1302,Mass Extractor,,cybran,structure,Mass Extractor,3,t2_mex,Mass Extractor,6250,4600,31625,2875,,,img/sc/urb1302.png
sc-urb1303,sc,URB1303,Mass Fabricator,,cybran,structure,Mass Fabricator,3,t1_fab,Mass Fabricator,6000,4000,120000,5000,,,img/sc/urb1303.png
sc-urb2101,sc,URB2101,Auto Gun,Point Defense,cybran,structure,Point Defense,1,t1_pd,Point Defense,1300,250,2000,250,,Light Pulse Laser,img/sc/urb2101.png
sc-urb2104,sc,URB2104,Tracer,Anti-Air Turret,cybran,structure,Anti-Air Turret,1,t1_aa_turret,Anti-Air Turret,800,150,1500,188,,Electron Autocannon,img/sc/urb2104.png
sc-urb2108,sc,URB2108,TML-4,Tactical Missile Launcher,cybran,structure,Tactical Missile Launcher,2,tml,Tactical Missile Launcher,900,850,5100,850,,Loa Tactical Missile,img/sc/urb2108.png
sc-urb2109,sc,URB2109,Scuttle,Torpedo Launcher,cybran,structure,Torpedo Launcher,1,other,Torpedo Launcher,1600,450,3600,450,,Nanite Torpedo,img/sc/urb2109.png
sc-urb2204,sc,URB2204,Burst Master,Anti-Air Flak Artillery,cybran,structure,Anti-Air Flak Artillery,2,t2_flak,Anti-Air Flak Artillery,2380,400,4000,540,,Electron Flak,img/sc/urb2204.png
sc-urb2205,sc,URB2205,Nanite Torpedo Array,Torpedo Launcher,cybran,structure,Torpedo Launcher,2,other,Torpedo Launcher,5800,1080,9000,1446,,Nanite Torpedo,img/sc/urb2205.png
sc-urb2301,sc,URB2301,Cerberus,Point Defense,cybran,structure,Point Defense,2,t2_pd,Point Defense,2000,480,3360,600,,Particle Cannon,img/sc/urb2301.png
sc-urb2302,sc,URB2302,Disruptor,Heavy Artillery Installation,cybran,structure,Heavy Artillery Installation,3,t3_arty_static,Heavy Artillery Installation,10500,70000,1313000,105600,,Proton Artillery,img/sc/urb2302.png
sc-urb2303,sc,URB2303,Gunther,Artillery Installation,cybran,structure,Artillery Installation,2,t2_arty,Artillery Installation,3150,1680,12012,1600,,Resonance Artillery,img/sc/urb2303.png
sc-urb2304,sc,URB2304,Myrmidon,Anti-Air SAM Launcher,cybran,structure,Anti-Air SAM Launcher,3,t2_flak,Anti-Air SAM Launcher,5000,800,8000,1400,,Nanite Missile System,img/sc/urb2304.png
sc-urb2305,sc,URB2305,Liberator,Strategic Missile Launcher,cybran,structure,Strategic Missile Launcher,3,nuke,Strategic Missile Launcher,4000,16500,412500,25000,,EMP Flux Warhead,img/sc/urb2305.png
sc-urb3101,sc,URB3101,Magno,Radar System,cybran,structure,Radar System,1,t1_radar,Radar System,10,80,720,80,,,img/sc/urb3101.png
sc-urb3102,sc,URB3102,Noah,Sonar System,cybran,structure,Sonar System,1,t1_radar,Sonar System,400,150,1250,125,,,img/sc/urb3102.png
sc-urb3104,sc,URB3104,Olympus,Omni Sensor Array,cybran,structure,Omni Sensor Array,3,t1_radar,Omni Sensor Array,100,2400,30000,2400,,,img/sc/urb3104.png
sc-urb3201,sc,URB3201,Magno XR,Radar System,cybran,structure,Radar System,2,t1_radar,Radar System,50,180,3600,780,,,img/sc/urb3201.png
sc-urb3202,sc,URB3202,Flood,Sonar System,cybran,structure,Sonar System,2,t1_radar,Sonar System,800,300,7200,780,,,img/sc/urb3202.png
sc-urb4201,sc,URB4201,Zapper,Tactical Missile Defense,cybran,structure,Tactical Missile Defense,2,tml,Tactical Missile Defense,950,280,3200,400,,Zapper Anti Missile,img/sc/urb4201.png
sc-urb4202,sc,URB4202,ED1,Shield Generator,cybran,structure,Shield Generator,2,shield,Shield Generator,500,160,2000,700,,,img/sc/urb4202.png
sc-urb4203,sc,URB4203,Twilight,Stealth Field Generator,cybran,structure,Stealth Field Generator,2,t1_radar,Stealth Field Generator,150,320,4000,400,,,img/sc/urb4203.png
